,pred,std,lat,lon
322,0.3174892,0.97995394,32.75,80.25
323,0.29307693,0.9890514,32.25,80.75
324,3.8127594,0.92187834,34.75,74.75
325,3.7250583,0.9172332,35.0,74.5
326,0.52083844,0.95257235,34.25,78.5
327,1.5947217,0.93523455,36.5,75.25
328,0.44280395,0.95688087,34.25,79.0
329,3.257602,0.9127757,35.5,73.75
330,0.31792387,0.9743195,34.25,79.75
331,0.71707296,0.9435328,34.75,78.25
332,0.35025355,0.9800346,32.25,80.5
333,1.8096063,0.9378465,36.5,73.25
334,2.645281,0.91465974,35.75,75.0
335,0.31907082,0.98419034,32.75,80.75
336,0.91610944,0.9341721,32.5,78.75
337,0.5354935,0.9636533,31.75,80.5
338,3.203672,0.91832805,35.5,73.25
339,1.6484159,0.9327588,36.5,73.5
340,0.3061123,0.9841109,33.75,80.25
341,2.5934825,0.91548496,35.75,75.5
342,0.39754933,0.9567584,34.0,79.0
343,2.561751,0.9262762,36.0,73.0
344,2.0078838,0.91537446,34.75,76.75
345,1.8993353,0.92361724,35.75,76.25
346,2.3771756,0.9193102,35.5,76.0
347,0.8212708,0.93277943,34.25,78.0
348,2.0950267,0.9179709,33.25,77.25
349,1.549497,0.9476644,36.75,73.0
350,3.550138,0.9514868,34.0,73.25
351,2.731364,0.91150445,35.5,75.5
352,1.977315,0.9195702,35.25,76.75
353,0.29380172,1.005119,34.0,80.75
354,0.55642885,0.94706315,33.5,79.0
355,0.7052078,0.9673961,31.25,80.75
356,3.1556664,0.91358185,34.5,76.0
357,0.62898505,0.94701725,32.75,79.0
358,0.2161206,1.0011379,33.5,80.75
359,2.8597343,0.9120005,33.25,76.75
360,1.3123338,0.9397135,36.75,74.75
361,0.3540695,0.96855456,32.5,80.25
362,0.5970181,0.97338325,31.75,80.25
363,1.5841738,0.9239005,35.25,77.0
364,0.8799881,0.93619615,34.0,78.0
365,2.9561179,0.91366464,35.5,75.25
366,0.62706655,0.9427088,33.75,78.5
367,1.2709699,0.9450444,37.0,74.0
368,0.714039,0.9753472,31.25,80.25
369,3.5691388,0.91863954,35.25,73.0
370,2.9762275,0.9152422,33.5,76.5
371,0.46189174,0.9649119,32.25,80.25
372,0.47866744,0.98684657,31.5,81.25
373,1.7810543,0.92650574,35.75,76.5
374,0.27028233,1.0180558,32.0,81.25
375,3.0201879,0.91899323,35.75,73.25
376,1.9914309,0.9124734,34.25,77.0
377,0.66068166,0.9491713,32.25,79.75
378,1.6037118,0.93401647,36.5,74.5
379,1.7674382,0.92976373,36.5,74.0
380,2.0556567,0.92113334,36.25,74.5
381,0.40368876,0.960768,34.5,79.0
382,0.8490326,0.9334846,33.75,78.0
383,0.48885196,0.95124567,33.5,78.75
384,1.3189509,0.9255508,35.5,77.25
385,3.114969,0.9663517,34.0,72.75
386,0.37661567,0.9724611,32.0,80.75
387,1.7394373,0.9186296,34.75,77.0
388,0.75260764,0.9369714,33.25,78.25
389,0.6859487,0.96196157,31.5,80.0
390,1.995816,0.9123912,34.0,77.0
391,2.2574382,0.9155236,36.0,75.25
392,3.7561126,0.92461574,35.0,73.5
393,2.0622191,0.9203319,35.25,76.5
