,time,lon,lat,tp
0,2000.0416666666476,72.25,34.5,2.7821733951568604
1,2000.0416666666476,72.25,34.75,4.15569543838501
2,2000.0416666666476,72.5,34.5,3.267213821411133
3,2000.0416666666476,72.5,34.75,4.040099620819092
4,2000.0416666666476,72.5,35.0,3.041692018508911
5,2000.0416666666476,72.75,34.25,3.084756374359131
6,2000.0416666666476,72.75,34.5,3.26381254196167
7,2000.0416666666476,72.75,34.75,3.817979335784912
8,2000.0416666666476,72.75,35.0,3.525596141815185
9,2000.0416666666476,72.75,35.25,6.549155235290527
10,2000.0416666666476,72.75,35.5,4.448078632354736
11,2000.0416666666476,73.0,34.0,3.594726324081421
12,2000.0416666666476,73.0,34.25,3.705788373947144
13,2000.0416666666476,73.0,34.5,3.545995712280273
14,2000.0416666666476,73.0,34.75,3.871243476867676
15,2000.0416666666476,73.0,35.0,3.7284531593322754
16,2000.0416666666476,73.0,35.25,6.464160919189453
17,2000.0416666666476,73.0,35.5,4.355147361755371
18,2000.0416666666476,73.25,34.0,4.152294158935547
19,2000.0416666666476,73.25,34.25,3.933574914932251
20,2000.0416666666476,73.25,34.5,3.2048821449279785
21,2000.0416666666476,73.25,34.75,3.6377906799316406
22,2000.0416666666476,73.25,35.0,3.32840895652771
23,2000.0416666666476,73.25,35.25,4.5942702293396
24,2000.0416666666476,73.5,34.0,4.408411502838135
25,2000.0416666666476,73.5,34.25,3.7386529445648193
26,2000.0416666666476,73.5,34.75,3.871243476867676
27,2000.0416666666476,73.5,35.0,3.573194026947021
28,2000.0416666666476,73.75,35.0,4.324551582336426
29,2000.0416666666476,74.0,35.0,4.904784202575684
30,2000.0416666666476,74.0,35.25,4.554603099822998
31,2000.0416666666476,74.25,35.0,4.3608174324035645
32,2000.0416666666476,74.25,35.25,2.943098545074463
33,2000.0416666666476,74.5,35.0,4.732526779174805
34,2000.0416666666476,74.5,35.25,3.135751962661743
35,2000.0416666666476,74.75,34.75,5.525816440582275
36,2000.0416666666476,74.75,35.0,5.010176658630371
37,2000.0416666666476,74.75,35.25,3.633256912231445
38,2000.0416666666476,75.0,34.75,6.202375411987305
39,2000.0416666666476,75.25,34.5,6.171777725219727
40,2000.0416666666476,75.5,34.25,5.874861240386963
41,2000.0416666666476,75.5,34.5,4.845853805541992
42,2000.0416666666476,75.75,34.0,5.783066272735596
43,2000.124999999981,72.25,34.5,0.7638223171234131
44,2000.124999999981,72.25,34.75,1.2227966785430908
45,2000.124999999981,72.5,34.5,0.957611918449402
46,2000.124999999981,72.5,34.75,1.363322138786316
47,2000.124999999981,72.5,35.0,1.155935287475586
48,2000.124999999981,72.75,34.25,1.0199434757232666
49,2000.124999999981,72.75,34.5,1.1434704065322876
50,2000.124999999981,72.75,34.75,1.5276446342468262
51,2000.124999999981,72.75,35.0,1.6341731548309326
52,2000.124999999981,72.75,35.25,2.9816291332244877
53,2000.124999999981,72.75,35.5,1.83362889289856
54,2000.124999999981,73.0,34.0,1.7373002767562866
55,2000.124999999981,73.0,34.25,1.8086955547332764
56,2000.124999999981,73.0,34.5,1.7293691635131836
57,2000.124999999981,73.0,34.75,1.900490403175354
58,2000.124999999981,73.0,35.0,1.8188953399658203
59,2000.124999999981,73.0,35.25,3.300078153610229
60,2000.124999999981,73.0,35.5,2.0432844161987305
61,2000.124999999981,73.25,34.0,3.126688241958618
62,2000.124999999981,73.25,34.25,2.971429347991944
63,2000.124999999981,73.25,34.5,2.1475441455841064
64,2000.124999999981,73.25,34.75,2.175874948501587
65,2000.124999999981,73.25,35.0,1.8392950296401975
66,2000.124999999981,73.25,35.25,2.32206654548645
67,2000.124999999981,73.5,34.0,2.960097074508667
68,2000.124999999981,73.5,34.25,2.569120407104492
69,2000.124999999981,73.5,34.75,2.188339710235596
70,2000.124999999981,73.5,35.0,1.83362889289856
71,2000.124999999981,73.75,35.0,2.071615219116211
72,2000.124999999981,74.0,35.0,2.578184127807617
73,2000.124999999981,74.0,35.25,3.1504855155944824
74,2000.124999999981,74.25,35.0,2.003617525100708
75,2000.124999999981,74.25,35.25,1.6704387664794922
76,2000.124999999981,74.5,35.0,2.0897462368011475
77,2000.124999999981,74.5,35.25,1.525379657745361
