time,lon,lat,tp
2000.0416666666476,72.25,34.5,2.7821733951568604
2000.0416666666476,72.25,34.75,4.15569543838501
2000.0416666666476,72.5,34.25,2.4546608924865723
2000.0416666666476,72.5,34.5,3.267213821411133
2000.0416666666476,72.5,34.75,4.040099620819092
2000.0416666666476,72.5,35.0,3.041692018508911
2000.0416666666476,72.5,35.75,2.994094133377075
2000.0416666666476,72.5,36.0,2.007018804550171
2000.0416666666476,72.5,36.25,1.8098317384719849
2000.0416666666476,72.75,34.0,2.7889721393585205
2000.0416666666476,72.75,34.25,3.084756374359131
2000.0416666666476,72.75,34.5,3.26381254196167
2000.0416666666476,72.75,34.75,3.817979335784912
2000.0416666666476,72.75,35.0,3.525596141815185
2000.0416666666476,72.75,35.25,6.549155235290527
2000.0416666666476,72.75,35.5,4.448078632354736
2000.0416666666476,72.75,35.75,3.2649450302124023
2000.0416666666476,72.75,36.0,2.2291393280029297
2000.0416666666476,72.75,36.25,1.5673115253448486
2000.0416666666476,72.75,36.5,1.3508572578430176
2000.0416666666476,73.0,34.0,3.594726324081421
2000.0416666666476,73.0,34.25,3.705788373947144
2000.0416666666476,73.0,34.5,3.545995712280273
2000.0416666666476,73.0,34.75,3.871243476867676
2000.0416666666476,73.0,35.0,3.7284531593322754
2000.0416666666476,73.0,35.25,6.464160919189453
2000.0416666666476,73.0,35.5,4.355147361755371
2000.0416666666476,73.0,35.75,3.159552812576294
2000.0416666666476,73.0,36.0,2.533987045288086
2000.0416666666476,73.0,36.25,1.8857605457305908
2000.0416666666476,73.0,36.5,1.4494508504867554
2000.0416666666476,73.0,36.75,1.3576560020446775
2000.0416666666476,73.25,34.0,4.152294158935547
2000.0416666666476,73.25,34.25,3.933574914932251
2000.0416666666476,73.25,34.5,3.2048821449279785
2000.0416666666476,73.25,34.75,3.6377906799316406
2000.0416666666476,73.25,35.0,3.32840895652771
2000.0416666666476,73.25,35.25,4.5942702293396
2000.0416666666476,73.25,35.5,2.8705670833587646
2000.0416666666476,73.25,35.75,2.4217963218688965
2000.0416666666476,73.25,36.0,2.5158562660217285
2000.0416666666476,73.25,36.25,2.081815242767334
2000.0416666666476,73.25,36.5,2.1203458309173584
2000.0416666666476,73.25,36.75,2.156611442565918
2000.0416666666476,73.5,34.0,4.408411502838135
2000.0416666666476,73.5,34.25,3.7386529445648193
2000.0416666666476,73.5,34.75,3.871243476867676
2000.0416666666476,73.5,35.0,3.573194026947021
2000.0416666666476,73.5,35.25,3.18448257446289
2000.0416666666476,73.5,35.5,1.8313639163970947
2000.0416666666476,73.5,35.75,2.1169445514678955
2000.0416666666476,73.5,36.0,2.2767372131347656
2000.0416666666476,73.5,36.25,2.0183510780334477
2000.0416666666476,73.5,36.5,2.04781436920166
2000.0416666666476,73.5,36.75,2.009283781051636
2000.0416666666476,73.75,35.0,4.324551582336426
2000.0416666666476,73.75,35.25,3.042824506759644
2000.0416666666476,73.75,35.5,1.5265121459960938
2000.0416666666476,73.75,35.75,1.825693964958191
2000.0416666666476,73.75,36.0,2.3866631984710693
2000.0416666666476,73.75,36.25,2.1271445751190186
2000.0416666666476,73.75,36.5,1.7259680032730105
2000.0416666666476,73.75,36.75,1.6738362312316897
2000.0416666666476,73.75,37.0,0.9859427809715272
2000.0416666666476,74.0,35.0,4.904784202575684
2000.0416666666476,74.0,35.25,4.554603099822998
2000.0416666666476,74.0,35.5,1.7418339252471924
2000.0416666666476,74.0,35.75,1.4709830284118652
2000.0416666666476,74.0,36.0,2.192873477935791
2000.0416666666476,74.0,36.25,2.148676633834839
2000.0416666666476,74.0,36.5,1.738432765007019
2000.0416666666476,74.0,36.75,1.5457794666290283
2000.0416666666476,74.0,37.0,0.7876232266426086
2000.0416666666476,74.25,35.0,4.3608174324035645
2000.0416666666476,74.25,35.25,2.943098545074463
2000.0416666666476,74.25,35.5,1.8630921840667725
2000.0416666666476,74.25,35.75,2.3843982219696045
