time,tp
1979.0416666666667,2.3503973484039307
1979.125,1.966219425201416
1979.2083333333333,3.250211477279663
1979.2916666666665,4.74385929107666
1979.3749999999998,3.932438850402832
1979.458333333333,0.499773770570755
1979.5416666666663,0.6538964509963989
1979.6249999999995,3.0326247215270996
1979.7083333333328,1.7486326694488525
1979.791666666666,0.5451030731201172
1979.8749999999993,1.1457353830337524
1979.9583333333326,2.30053448677063
1980.0416666666658,2.714179515838623
1980.124999999999,4.182893753051758
1980.2083333333323,4.202157020568848
1980.2916666666656,1.3179928064346313
1980.3749999999989,1.521978497505188
1980.4583333333321,2.063680410385132
1980.5416666666654,1.9832216501235962
1980.6249999999986,2.773106098175049
1980.708333333332,2.666581392288208
1980.7916666666652,1.1480003595352173
1980.8749999999984,1.3678557872772217
1980.9583333333317,1.5752427577972412
1981.041666666665,2.6031174659729004
1981.1249999999982,4.781257152557373
1981.2083333333314,4.71552848815918
1981.2916666666647,3.0904226303100586
1981.374999999998,1.3542547225952148
1981.4583333333312,1.2896620035171509
1981.5416666666645,2.5940499305725098
1981.6249999999977,2.5294535160064697
1981.708333333331,1.7509013414382935
1981.7916666666642,1.653440237045288
1981.8749999999975,1.7067044973373413
1981.9583333333308,1.8982254266738892
1982.041666666664,2.6643128395080566
1982.1249999999973,3.4043378829956055
1982.2083333333305,4.436746120452881
1982.2916666666638,2.675645112991333
1982.374999999997,1.01314115524292
1982.4583333333303,0.8431524038314819
1982.5416666666636,1.5945099592208862
1982.6249999999968,2.5305895805358887
1982.70833333333,2.2563376426696777
1982.7916666666633,1.0890699625015259
1982.8749999999966,3.694456100463867
1982.9583333333298,2.8569698333740234
1983.041666666663,1.9911527633666992
1983.1249999999964,1.7373002767562866
1983.2083333333296,5.500883102416992
1983.2916666666629,2.7867071628570557
1983.3749999999961,1.155935287475586
1983.4583333333294,0.8771494030952454
1983.5416666666626,1.8800944089889526
1983.624999999996,2.8683021068573
1983.7083333333292,1.6704387664794922
1983.7916666666624,1.4381184577941895
1983.8749999999957,0.8261538743972778
1983.958333333329,2.0772814750671387
1984.0416666666622,2.111278533935547
1984.1249999999955,3.9653069972991943
1984.2083333333287,5.1541032791137695
1984.291666666662,3.0972213745117188
1984.3749999999952,3.440603733062744
1984.4583333333285,0.6561651825904846
1984.5416666666617,2.325467824935913
1984.624999999995,1.5299134254455566
1984.7083333333283,3.101754903793335
1984.7916666666615,1.4573819637298584
1984.8749999999948,1.9888877868652344
1984.958333333328,3.258146286010742
1985.0416666666613,2.290334463119507
1985.1249999999945,1.1944658756256104
1985.2083333333278,3.967571973800659
1985.291666666661,2.7255117893218994
1985.3749999999943,2.5997161865234375
1985.4583333333276,0.5439705848693848
1985.5416666666608,2.109013557434082
1985.624999999994,2.390064239501953
1985.7083333333273,1.4777816534042358
1985.7916666666606,2.0387508869171143
1985.8749999999939,1.35198974609375
1985.9583333333271,2.922698974609375
1986.0416666666604,1.2125968933105469
1986.1249999999936,2.496588945388794
1986.208333333327,6.000654697418213
1986.2916666666601,4.669062614440918
1986.3749999999934,1.3395249843597412
1986.4583333333267,0.8737519383430481
1986.54166666666,2.1702089309692383
1986.6249999999932,3.5153963565826416
1986.7083333333264,1.5752427577972412
1986.7916666666597,0.9270161390304565
1986.874999999993,3.8372464179992676
1986.9583333333262,3.2694787979125977
1987.0416666666595,0.6448291540145874
1987.1249999999927,3.5017988681793213
1987.208333333326,5.031708717346191
1987.2916666666592,4.394814491271973
1987.3749999999925,2.6507153511047363
1987.4583333333258,2.216674327850342
1987.541666666659,1.8766932487487793
1987.6249999999923,1.4154539108276367
1987.7083333333255,1.2851283550262451
1987.7916666666588,4.364214897155762
1987.874999999992,0.6425641775131226
1987.9583333333253,2.058014392852783
1988.0416666666586,3.3612735271453857
1988.1249999999918,3.824781656265259
1988.208333333325,5.582478046417236
1988.2916666666583,1.9877516031265259
1988.3749999999916,1.2964606285095215
1988.4583333333248,1.2057982683181763
1988.541666666658,3.0020289421081543
1988.6249999999914,3.432668685913086
1988.7083333333246,1.9526220560073853
1988.7916666666579,1.6500390768051147
1988.8749999999911,0.34677982330322266
1988.9583333333244,2.5600531101226807
1989.0416666666576,2.1146795749664307
1989.124999999991,3.0632243156433105
1989.2083333333242,4.242956638336182
1989.2916666666574,2.5328545570373535
1989.3749999999907,3.783982276916504
1989.458333333324,0.8510872721672058
1989.5416666666572,2.970296859741211
1989.6249999999905,2.700578451156616
1989.7083333333237,1.8766932487487793
1989.791666666657,1.0562055110931396
1989.8749999999902,2.2733359336853027
1989.9583333333235,2.6325807571411133
1990.0416666666567,3.9573721885681152
1990.12499999999,3.338608980178833
1990.2083333333233,3.825914144515991
1990.2916666666565,2.675645112991333
1990.3749999999898,0.49183890223503113
1990.458333333323,0.804621696472168
1990.5416666666563,1.993417739868164
1990.6249999999895,2.317533016204834
1990.7083333333228,1.4664493799209595
1990.791666666656,1.3066604137420654
1990.8749999999893,0.9723454713821411
1990.9583333333226,4.951249599456787
1991.0416666666558,2.7198455333709717
1991.124999999989,4.164759159088135
1991.2083333333223,4.839055061340332
1991.2916666666556,3.14935302734375
1991.3749999999889,2.879634380340576
1991.4583333333221,0.6198995113372803
1991.5416666666554,1.53331458568573
1991.6249999999886,2.5294535160064697
1991.708333333322,2.8762333393096924
1991.7916666666551,1.2125968933105469
1991.8749999999884,0.5553029775619507
1991.9583333333217,4.4412760734558105
1992.041666666655,4.390280723571777
1992.1249999999882,2.7867071628570557
1992.2083333333214,5.7218708992004395
1992.2916666666547,2.8841681480407715
1992.374999999988,2.368532180786133
